epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.974,1.76922,3.14622,1.624,0.00448,0.53957,0.1715,0.07333,1.70926,3.53278,1.82372,0.000540649,0.000540649,0.000540649
2,496.753,1.79431,2.69572,1.73546,0.665,0.11333,0.10371,0.03485,1.99711,3.65075,2.23938,0.00106014,0.00106014,0.00106014
3,736.305,1.75398,2.59881,1.65679,0.3086,0.26043,0.1533,0.05022,2.2052,3.2589,2.3884,0.00154295,0.00154295,0.00154295
4,974.056,1.8466,2.61011,1.69326,0.26723,0.23484,0.11324,0.0377,2.40852,3.82155,2.66051,0.00150197,0.00150197,0.00150197
5,1215.16,1.77557,2.4982,1.70432,0.29638,0.3529,0.23571,0.08525,2.01223,4.58578,2.25865,0.00144696,0.00144696,0.00144696
6,1450.79,1.81819,2.5291,1.67523,0.43911,0.32964,0.30464,0.11587,2.05032,3.32576,2.15645,0.00139195,0.00139195,0.00139195
7,1688.57,1.78117,2.27284,1.66651,0.3792,0.41263,0.3449,0.13294,1.97659,3.15261,2.06704,0.00133693,0.00133693,0.00133693
8,1924.77,1.73413,2.21416,1.65629,0.44571,0.41042,0.38535,0.1563,2.04311,2.70322,2.24653,0.00128192,0.00128192,0.00128192
9,2160.67,1.76357,2.15125,1.657,0.48087,0.36627,0.3626,0.12598,2.05506,3.01811,2.2557,0.00122691,0.00122691,0.00122691
10,2397.17,1.75411,2.08505,1.63135,0.44251,0.37475,0.35035,0.14902,1.88109,2.5264,1.94202,0.0011719,0.0011719,0.0011719
11,2635.57,1.76002,2.05327,1.62889,0.47968,0.44344,0.38728,0.1654,2.01521,2.33244,2.01715,0.00111689,0.00111689,0.00111689
12,2869.88,1.7397,1.96407,1.63375,0.55629,0.38731,0.43421,0.20134,1.87655,2.13275,1.8772,0.00106188,0.00106188,0.00106188
13,3104.4,1.66524,1.85648,1.5826,0.5282,0.4228,0.44223,0.19998,1.87245,2.05743,1.90544,0.00100687,0.00100687,0.00100687
14,3338.37,1.64301,1.81813,1.58111,0.51701,0.45892,0.44032,0.18856,1.93381,2.07304,1.95274,0.000951857,0.000951857,0.000951857
15,3573.26,1.65158,1.8074,1.57051,0.60323,0.4452,0.4807,0.21309,1.89259,2.11106,1.92747,0.000896846,0.000896846,0.000896846
16,3807.84,1.58227,1.77565,1.56645,0.72724,0.47556,0.54203,0.22767,1.95979,1.88261,2.0415,0.000841835,0.000841835,0.000841835
17,4043.39,1.52931,1.63859,1.50038,0.55799,0.49547,0.50718,0.21448,1.80882,1.93144,1.8822,0.000786824,0.000786824,0.000786824
18,4276.69,1.58433,1.6644,1.52673,0.51448,0.56839,0.51265,0.19921,1.92984,2.00982,1.95057,0.000731813,0.000731813,0.000731813
19,4513.01,1.58808,1.62708,1.50301,0.58153,0.52223,0.50313,0.20654,1.8876,1.85621,1.90225,0.000676802,0.000676802,0.000676802
20,4749.66,1.55939,1.60422,1.49302,0.60348,0.54602,0.54061,0.22675,1.87134,1.75336,1.88139,0.000621791,0.000621791,0.000621791
21,4980.74,1.53868,1.63615,1.51818,0.59887,0.48274,0.50424,0.23838,1.83514,1.90699,1.87929,0.00056678,0.00056678,0.00056678
22,5212.48,1.53546,1.59064,1.52778,0.59937,0.52258,0.51093,0.23409,1.83202,1.80001,1.90107,0.000511769,0.000511769,0.000511769
23,5443.72,1.45088,1.48546,1.48,0.71787,0.52667,0.54261,0.2421,1.80538,1.82568,1.86394,0.000456758,0.000456758,0.000456758
24,5674.25,1.48836,1.50792,1.48769,0.63346,0.53003,0.54443,0.23388,1.89281,1.78704,1.93638,0.000401747,0.000401747,0.000401747
25,5907.23,1.4402,1.4012,1.4684,0.69272,0.50527,0.54308,0.24317,1.83711,1.73438,1.8888,0.000346736,0.000346736,0.000346736
26,6137.95,1.41912,1.38165,1.45966,0.69665,0.50925,0.54553,0.23414,1.84095,1.66283,1.89585,0.000291725,0.000291725,0.000291725
27,6371.22,1.42228,1.33226,1.44293,0.66121,0.54229,0.55271,0.23516,1.88959,1.67942,1.94346,0.000236714,0.000236714,0.000236714
28,6606.92,1.42041,1.31976,1.43674,0.64667,0.56495,0.56108,0.24308,1.83592,1.62338,1.88507,0.000181703,0.000181703,0.000181703
29,6842.34,1.37736,1.29643,1.42746,0.65411,0.57722,0.58261,0.25442,1.84832,1.58933,1.89612,0.000126692,0.000126692,0.000126692
30,7076.92,1.38862,1.24333,1.39356,0.74519,0.55068,0.59477,0.26108,1.84645,1.56694,1.89806,7.1681e-05,7.1681e-05,7.1681e-05
